Alter_in_Jahren,Sterbewahrscheinlichkeit_maennlich_Prozent,Ueberlebenswahrscheinlichkeit_maennlich_Prozent,Ueberlebende_maennlich_Anzahl,Gestorbene_maennlich_Anzahl,Bis_zum_Alter_x+1_durchlebte_Jahre_maennlich_Jahre,Insgesamt_noch_zu_durchlebende_Jahre_maennlich_Jahre,Durchschnittliche_Lebenserwartung_maennlich_Jahre,Sterbewahrscheinlichkeit_weiblich_Prozent,Ueberlebenswahrscheinlichkeit_weiblich_Prozent,Ueberlebende_weiblich_Anzahl,Gestorbene_weiblich_Anzahl,Bis_zum_Alter_x+1_durchlebte_Jahre_weiblich_Jahre,Insgesamt_noch_zu_durchlebende_Jahre_weiblich_Jahre,Durchschnittliche_Lebenserwartung_weiblich_Jahre
0,0.00325298,0.99674702,100000,325,99707,7816643,78.17,0.00288995,0.99711005,100000,289,99743,8299434,82.99
1,0.0002535,0.9997465,99675,25,99662,7716936,77.42,0.00020856,0.99979144,99711,21,99701,8199691,82.23
2,0.000181,0.999819,99649,18,99640,7617274,76.44,0.0001535,0.9998465,99690,15,99683,8099990,81.25
3,0.00014128,0.99985872,99631,14,99624,7517634,75.45,0.00011914,0.99988086,99675,12,99669,8000308,80.26
4,0.00011836,0.99988164,99617,12,99611,7418009,74.47,0.00009721,0.99990279,99663,10,99658,7900639,79.27
5,0.00010452,0.99989548,99606,10,99600,7318398,73.47,0.00008312,0.99991688,99653,8,99649,7800981,78.28
6,0.00009552,0.99990448,99595,10,99590,7218798,72.48,0.00007425,0.99992575,99645,7,99641,7701331,77.29
7,0.00008873,0.99991127,99586,9,99581,7119207,71.49,0.00006907,0.99993093,99638,7,99634,7601690,76.29
8,0.00008303,0.99991697,99577,8,99573,7019626,70.49,0.00006674,0.99993326,99631,7,99627,7502056,75.3
9,0.00007914,0.99992086,99569,8,99565,6920054,69.5,0.00006689,0.99993311,99624,7,99621,7402428,74.3
10,0.00007787,0.99992213,99561,8,99557,6820489,68.51,0.00006944,0.99993056,99617,7,99614,7302808,73.31
11,0.00008018,0.99991982,99553,8,99549,6720932,67.51,0.00007457,0.99992543,99611,7,99607,7203194,72.31
12,0.00008755,0.99991245,99545,9,99541,6621383,66.52,0.00008272,0.99991728,99603,8,99599,7103587,71.32
13,0.00010269,0.99989731,99536,10,99531,6521843,65.52,0.00009465,0.99990535,99595,9,99590,7003988,70.32
14,0.00012872,0.99987128,99526,13,99520,6422312,64.53,0.00011085,0.99988915,99585,11,99580,6904397,69.33
15,0.00016794,0.99983206,99513,17,99505,6322792,63.54,0.00013091,0.99986909,99574,13,99568,6804818,68.34
16,0.00022191,0.99977809,99496,22,99485,6223287,62.55,0.00015353,0.99984647,99561,15,99554,6705250,67.35
17,0.00028893,0.99971107,99474,29,99460,6123802,61.56,0.00017613,0.99982387,99546,18,99537,6605696,66.36
18,0.00036068,0.99963932,99446,36,99428,6024342,60.58,0.00019463,0.99980537,99529,19,99519,6506159,65.37
19,0.00042089,0.99957911,99410,42,99389,5924914,59.6,0.00020437,0.99979563,99509,20,99499,6406640,64.38
20,0.00045911,0.99954089,99368,46,99345,5825526,58.63,0.00020484,0.99979516,99489,20,99479,6307141,63.4
21,0.00047571,0.99952429,99322,47,99299,5726180,57.65,0.00019919,0.99980081,99468,20,99459,6207662,62.41
22,0.00047596,0.99952404,99275,47,99251,5626882,56.68,0.00019107,0.99980893,99449,19,99439,6108203,61.42
23,0.00046739,0.99953261,99228,46,99205,5527630,55.71,0.00018379,0.99981621,99430,18,99421,6008764,60.43
24,0.00045793,0.99954207,99181,45,99159,5428426,54.73,0.00018023,0.99981977,99411,18,99402,5909344,59.44
25,0.00045411,0.99954589,99136,45,99113,5329267,53.76,0.00018269,0.99981731,99393,18,99384,5809941,58.45
26,0.00045729,0.99954271,99091,45,99068,5230154,52.78,0.00019114,0.99980886,99375,19,99366,5710557,57.46
27,0.00046735,0.99953265,99046,46,99023,5131085,51.81,0.00020504,0.99979496,99356,20,99346,5611191,56.48
28,0.00048446,0.99951554,98999,48,98975,5032063,50.83,0.00022399,0.99977601,99336,22,99325,5511845,55.49
